nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,crop_name,soil_color
90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,brown
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,rice,brown
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,rice,brown
74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,rice,brown
78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,rice,brown
69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,rice,brown
69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,rice,brown
94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,brown
89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,brown
68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,rice,brown
91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,rice,brown
90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,rice,brown
78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,rice,brown
93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,rice,brown
94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,rice,brown
60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,brown
85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,brown
91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,rice,brown
77.0,38.0,36.0,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,brown
88.0,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,brown
89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,rice,brown
76.0,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,rice,brown
67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,rice,brown
83.0,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,rice,brown
98.0,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,rice,brown
66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,rice,brown
97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,brown
97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,rice,brown
60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,rice,brown
84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,rice,brown
73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,rice,brown
92.0,35.0,40.0,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,brown
85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,brown
98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,rice,brown
88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,rice,brown
95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,rice,brown
99.0,57.0,35.0,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,brown
95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,rice,brown
60.0,43.0,44.0,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,brown
63.0,44.0,41.0,24.17298839,83.7287574,5.583370042,257.0343554,rice,brown
62.0,42.0,36.0,22.78133816,82.06719137,6.430010215,248.7183228,rice,brown
64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,rice,brown
83.0,60.0,36.0,25.59704938,80.14509262,6.903985986,200.834898,rice,brown
82.0,40.0,40.0,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,brown
85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,265.5355937,rice,brown
91.0,35.0,38.0,24.8972823,80.52586088,6.13428721,183.6793207,rice,brown
76.0,49.0,42.0,24.958779,84.47963372,5.206373153,196.95600080000003,rice,brown
74.0,39.0,38.0,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,brown
79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,rice,brown
88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,rice,brown
60.0,36.0,43.0,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,brown
76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,rice,brown
93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,rice,brown
65.0,60.0,43.0,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,brown
95.0,52.0,36.0,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,brown
75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,rice,brown
74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,rice,brown
91.0,36.0,45.0,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice,brown
71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,rice,brown
99.0,55.0,35.0,21.7238313,80.2389895,6.501697816,277.9626192,rice,brown
72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,rice,brown
83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,rice,brown
93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,rice,brown
70.0,36.0,42.0,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,brown
76.0,47.0,42.0,20.08369642,83.29114712,5.739175027000001,263.6372176,rice,brown
99.0,41.0,36.0,24.45802087,82.74835604,6.738652179,182.5616319,rice,brown
99.0,54.0,37.0,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,brown
86.0,59.0,35.0,25.78720567,82.11124033,6.946636369,243.5120414,rice,brown
69.0,46.0,41.0,23.64124821,80.28597873,5.012139669,263.1103304,rice,brown
91.0,56.0,37.0,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,brown
61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,rice,brown
67.0,45.0,38.0,22.72791041,82.17068809999998,7.300410836,260.8875056,rice,brown
79.0,42.0,37.0,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,brown
78.0,43.0,42.0,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,brown
