nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,soil_color_black,soil_color_brown,soil_color_dark gray,soil_color_gray,soil_color_grayish brown,soil_color_light red,soil_color_other,soil_color_red,soil_color_red brown,soil_color_reddish gray,soil_color_very dark brown,soil_color_yellowish brown,crop_name
2.1792480377270254,0.44861228976453704,-1.181895285028848,-1.4606069798985566,1.5276967892810953,0.5961349975935711,2.9569741906457474,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.026787198278573,0.9025442625140464,-1.2027973767620468,-1.1928413009990468,1.478871407785081,1.3361269759447918,3.4258139845925104,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.2644830010363113,0.8174320176235134,-1.1714442391622486,-0.8218797002944451,1.5369222550892976,2.4453463129288626,4.163242615185814,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.6913733514919778,0.25001705168662675,-1.2132484226286462,0.22626550155079442,1.4741927629425706,1.2563413443242355,3.74618447006697,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.8133420230507398,0.44861228976453704,-1.1923463308954474,-1.685940729996204,1.5161548611680604,2.152544205405672,4.138596761970816,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.5389125120435254,0.3067585482803154,-1.1923463308954474,-0.8057697216983213,1.5673631943353554,1.3850215007886142,3.908083729335516,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.5389125120435254,0.8174320176235134,-1.234150514361845,-0.9107486858313907,1.5461660654425327,-0.5131795213271653,4.308729462314383,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.301216709285787,0.7606905210298247,-1.2132484226286462,-1.6415789221023231,1.5535539025612555,-0.4885346086610031,3.7285962722190824,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.148755869837335,0.789061269326669,-1.234150514361845,-0.36751949221997493,1.5721525713388271,0.8483177362075006,3.5007393730302776,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.508420344153835,0.9025442625140464,-1.234150514361845,-0.7558896712713649,1.5575902629261633,0.3655657246631965,3.3181638351689227,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.2097402056167157,0.7606905210298247,-1.2132484226286462,0.2371294620619547,1.5107204406223904,-0.9482845484020926,4.176102544185362,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.1792480377270254,0.5620952829519144,-1.1923463308954474,-0.5289207347041246,1.511679992290444,1.9788012079334538,3.888876198057127,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.8133420230507398,0.9025442625140464,-1.1714442391622486,0.31936674078682975,1.4953255436376736,-1.332013137624662,4.567887885443179,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.270724541396097,0.8458027659203577,-1.2550526060950438,-0.5181002826070493,1.5292669871277353,1.261807512306621,2.6079495209672614,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.301216709285787,0.6755782761392917,-1.2446015602284444,-0.021817623758351886,1.4888565577053685,1.2115623495724204,3.0884437129708293,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.2644830010363113,0.618836779545603,-1.2236994684952456,-0.43779987835038325,1.4783089714085085,1.3419387978029413,3.513391302807481,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.026787198278573,0.33512929657715973,-1.2027973767620468,-1.2479577467352134,1.5504871841329138,0.24497501501892993,4.414087671127493,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.2097402056167157,0.25001705168662675,-1.2236994684952456,-0.584553846239504,1.4817298430898056,1.243147120520509,3.0227076077482393,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.7828498551610492,0.33512929657715973,-1.2550526060950438,-1.1643455263695552,1.475177281664925,-0.16313557458285194,3.38429595977888,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.1182637019476442,0.25001705168662675,-1.2132484226286462,-0.6490313468674396,1.5736722720083798,-0.301424776867188,4.703523410837017,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.148755869837335,0.5337245346550701,-1.2550526060950438,-1.3267425142086917,1.48337131072824,0.5124573168564176,2.612300605057958,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.7523576872713587,0.3918707931708484,-1.181895285028848,-0.17465073288274366,1.560024362160698,-1.3852623055603708,3.5192810846319404,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.4779281762641445,0.9309150108108906,-1.2027973767620468,-1.1395701254753021,1.4978491617687817,-0.08196173096215184,3.162942615342401,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.9658028624991921,0.4202415414676927,-1.181895285028848,-1.4086626922603842,1.5472968795690325,0.2518586856870775,3.5533424382278085,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.423185380844549,0.5904660312487587,-1.2446015602284444,-0.677777268573866,1.5082579158572533,1.8026904814813869,3.374474428739832,0,1,0,0,0,0,0,0,0,0,0,0,rice
1.447436008374454,0.7606905210298247,-1.2027973767620468,-0.19924725416173117,1.4847964605661466,2.360587122613584,4.025666978641619,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.3926932129548586,0.9309150108108906,-1.181895285028848,0.18663663231300825,1.5869130183594018,0.2967630381014868,4.309396616168366,0,1,0,0,0,0,0,0,0,0,0,0,rice
2.3926932129548586,0.6755782761392917,-1.2027973767620468,-0.3635074019785219,1.4854083886610872,1.381573289707123,4.09009323409603,0,1,0,0,0,0,0,0,0,0,0,0,rice
